,algoritmo,roc_auc
0,LogisticRegression,0.9742857142857143
1,LogisticRegression,0.9923809523809524
2,LogisticRegression,0.9487684729064039
3,LogisticRegression,0.9103448275862069
4,LogisticRegression,0.9696078431372548
5,LogisticRegression,0.9558823529411765
6,LogisticRegression,0.9598039215686275
7,LogisticRegression,0.914705882352941
8,LogisticRegression,0.9950980392156863
9,LogisticRegression,0.930392156862745
10,RandomForest,0.980952380952381
11,RandomForest,0.9885714285714287
12,RandomForest,0.9625615763546798
13,RandomForest,0.9044334975369458
14,RandomForest,0.9647058823529413
15,RandomForest,0.953921568627451
16,RandomForest,0.9794117647058824
17,RandomForest,0.9176470588235294
18,RandomForest,0.9950980392156863
19,RandomForest,0.9539215686274509
20,XGB,0.9923809523809524
21,XGB,0.9885714285714287
22,XGB,0.9684729064039409
23,XGB,0.9369458128078818
24,XGB,0.957843137254902
25,XGB,0.9627450980392157
26,XGB,0.9656862745098039
27,XGB,0.946078431372549
28,XGB,0.996078431372549
29,XGB,0.9480392156862746
30,SVM,0.9761904761904763
31,SVM,0.9942857142857143
32,SVM,0.9527093596059113
33,SVM,0.9261083743842364
34,SVM,0.9637254901960783
35,SVM,0.953921568627451
36,SVM,0.9627450980392157
37,SVM,0.9127450980392157
38,SVM,0.996078431372549
39,SVM,0.9284313725490195
40,MLP,0.9742857142857143
41,MLP,0.9904761904761905
42,MLP,0.9596059113300492
43,MLP,0.9142857142857143
44,MLP,0.9470588235294117
45,MLP,0.9549019607843138
46,MLP,0.9637254901960784
47,MLP,0.9127450980392156
48,MLP,0.9980392156862745
49,MLP,0.9245098039215687
50,Stacking,0.9733333333333334
51,Stacking,0.9933333333333334
52,Stacking,0.9605911330049262
53,Stacking,0.9201970443349754
54,Stacking,0.9696078431372548
55,Stacking,0.953921568627451
56,Stacking,0.9686274509803922
57,Stacking,0.9147058823529413
58,Stacking,0.9941176470588236
59,Stacking,0.930392156862745
